Wall time,Step,Value
1744246061.105111,153,0.25
1744246061.646277,353,0.125
1744246062.1985288,553,0.0833333358168602
1744246062.747732,753,0.0625
1744246063.2933402,953,0.05000000074505806
1744246063.8308463,1153,0.0416666679084301
1744246064.2426069,1305,0.0714285746216774
1744246064.735772,1484,0.09375
1744246065.2581067,1684,0.0833333358168602
1744246065.7857482,1884,0.07500000298023224
1744246066.312879,2084,0.06818182021379471
1744246066.8460605,2284,0.0625
1744246067.3660593,2484,0.057692307978868484
1744246067.7601218,2635,0.0714285746216774
1744246068.2810326,2835,0.06666667014360428
1744246068.801636,3035,0.0625
1744246069.3284807,3235,0.05882352963089943
1744246069.7478583,3395,0.0694444477558136
1744246070.1537054,3546,0.07894736528396606
1744246070.6882205,3746,0.07500000298023224
1744246071.225384,3946,0.0714285746216774
1744246071.759229,4146,0.06818182021379471
1744246072.2718868,4346,0.06521739065647125
1744246072.6770763,4497,0.0729166641831398
1744246073.2259307,4697,0.07000000029802322
1744246073.7379735,4897,0.05999999865889549
1744246074.277755,5097,0.05999999865889549
1744246074.812566,5297,0.05999999865889549
1744246075.2542067,5458,0.07000000029802322
1744246075.7907193,5658,0.07000000029802322
1744246076.3305595,5858,0.07000000029802322
1744246076.736474,6012,0.07000000029802322
1744246077.2738798,6212,0.05999999865889549
1744246077.8050673,6412,0.05999999865889549
1744246078.2120574,6566,0.07000000029802322
1744246078.7558804,6766,0.07000000029802322
1744246079.1855948,6919,0.07999999821186066
1744246079.7458074,7119,0.07999999821186066
1744246080.174999,7271,0.07999999821186066
1744246080.601941,7424,0.09000000357627869
1744246081.1623273,7624,0.09000000357627869
1744246081.7337031,7824,0.09000000357627869
1744246082.0238874,7928,0.10000000149011612
1744246082.5825827,8128,0.09000000357627869
1744246083.1369333,8328,0.09000000357627869
1744246083.5790594,8480,0.10000000149011612
1744246084.000954,8634,0.10999999940395355
1744246084.4586267,8788,0.11999999731779099
1744246085.0087123,8988,0.10999999940395355
1744246085.5547695,9188,0.10999999940395355
1744246085.9843435,9339,0.11999999731779099
1744246086.5362937,9539,0.11999999731779099
1744246086.9830232,9693,0.12999999523162842
1744246087.551758,9893,0.11999999731779099
1744246088.1029935,10093,0.11999999731779099
1744246088.668806,10293,0.11999999731779099
1744246089.2422163,10493,0.10999999940395355
1744246089.699415,10651,0.11999999731779099
1744246089.9973452,10756,0.14000000059604645
1744246090.539697,10956,0.12999999523162842
1744246091.089479,11156,0.12999999523162842
1744246091.616464,11356,0.11999999731779099
1744246092.0419643,11517,0.12999999523162842
1744246092.5855901,11717,0.11999999731779099
1744246093.0079486,11872,0.11999999731779099
1744246093.525991,12072,0.11999999731779099
1744246093.9386408,12228,0.12999999523162842
1744246094.479118,12428,0.10999999940395355
1744246094.8946545,12579,0.11999999731779099
1744246095.4398227,12779,0.11999999731779099
1744246095.724583,12885,0.12999999523162842
1744246096.266842,13085,0.11999999731779099
1744246096.798757,13285,0.10999999940395355
1744246097.3324497,13485,0.10999999940395355
1744246097.7539635,13646,0.11999999731779099
1744246098.1657643,13800,0.11999999731779099
1744246098.444058,13906,0.14000000059604645
1744246098.8474295,14058,0.14000000059604645
1744246099.247296,14210,0.15000000596046448
1744246099.7720122,14410,0.15000000596046448
1744246100.1728938,14564,0.1599999964237213
1744246100.7011561,14764,0.1599999964237213
1744246101.037746,14892,0.17000000178813934
1744246101.5619476,15092,0.15000000596046448
1744246101.9623432,15243,0.1599999964237213
1744246102.4938056,15443,0.1599999964237213
1744246102.9035957,15599,0.17000000178813934
1744246103.4276705,15799,0.1599999964237213
1744246103.9596634,15999,0.1599999964237213
1744246104.2435408,16105,0.17000000178813934
1744246104.7706008,16305,0.17000000178813934
1744246105.3004897,16505,0.1599999964237213
1744246105.825147,16705,0.1599999964237213
1744246106.251591,16865,0.1599999964237213
1744246106.3801706,16914,0.20000000298023224
1744246106.9047923,17114,0.18000000715255737
1744246107.4357972,17314,0.18000000715255737
1744246107.7596922,17436,0.20000000298023224
1744246108.2869873,17636,0.20000000298023224
1744246108.8176134,17836,0.1899999976158142
1744246109.2346864,17991,0.1899999976158142
1744246109.6576538,18153,0.18000000715255737
1744246109.864801,18230,0.20000000298023224
1744246110.2711554,18383,0.20000000298023224
1744246110.5698626,18496,0.2199999988079071
1744246110.972773,18647,0.2199999988079071
1744246111.4388633,18822,0.23000000417232513
1744246111.85001,18976,0.2199999988079071
1744246112.0452054,19049,0.25
1744246112.3442178,19161,0.25999999046325684
1744246112.7026412,19294,0.2800000011920929
1744246113.127323,19452,0.2800000011920929
1744246113.5550985,19609,0.28999999165534973
1744246114.080171,19809,0.28999999165534973
1744246114.3765159,19921,0.28999999165534973
1744246114.7194998,20049,0.3100000023841858
1744246115.252663,20249,0.3100000023841858
1744246115.7773993,20449,0.3100000023841858
1744246116.0693483,20553,0.3199999928474426
1744246116.3453507,20658,0.30000001192092896
1744246116.6225092,20763,0.3199999928474426
1744246116.8044746,20833,0.3499999940395355
1744246116.9946144,20905,0.36000001430511475
1744246117.2652178,21008,0.3799999952316284
1744246117.6925735,21170,0.38999998569488525
1744246118.0875354,21321,0.38999998569488525
1744246118.613195,21521,0.3799999952316284
1744246119.0154898,21674,0.36000001430511475
1744246119.5433462,21874,0.3499999940395355
1744246119.6908953,21931,0.36000001430511475
1744246120.0929558,22083,0.36000001430511475
1744246120.4956384,22235,0.36000001430511475
1744246121.0193357,22435,0.3499999940395355
1744246121.5471225,22635,0.3199999928474426
1744246121.9582152,22788,0.3100000023841858
1744246122.3773444,22942,0.30000001192092896
1744246122.8103387,23094,0.30000001192092896
1744246123.3394418,23294,0.28999999165534973
1744246123.7612593,23447,0.30000001192092896
1744246123.9334614,23511,0.3100000023841858
1744246124.237263,23625,0.3100000023841858
1744246124.7638137,23825,0.3100000023841858
1744246124.9819918,23909,0.3400000035762787
1744246125.1664083,23978,0.3499999940395355
1744246125.514268,24109,0.3499999940395355
1744246125.7367694,24194,0.36000001430511475
1744246125.900775,24256,0.36000001430511475
1744246126.2004142,24365,0.36000001430511475
1744246126.378445,24429,0.3700000047683716
1744246126.6916647,24543,0.3799999952316284
1744246127.0127404,24661,0.38999998569488525
1744246127.523882,24847,0.4000000059604645
1744246127.7554011,24930,0.41999998688697815
1744246128.0807374,25054,0.4399999976158142
1744246128.2407641,25114,0.4399999976158142
1744246128.3218188,25144,0.4699999988079071
1744246128.417186,25180,0.5
1744246128.4763975,25202,0.5400000214576721
1744246128.7711263,25314,0.5600000023841858
1744246128.8836386,25356,0.5899999737739563
1744246129.0591362,25422,0.6100000143051147
1744246129.137388,25451,0.6399999856948853
1744246129.2163982,25480,0.6800000071525574
1744246129.3039882,25513,0.7099999785423279
1744246129.4596207,25572,0.7200000286102295
1744246129.6156552,25629,0.7300000190734863
1744246129.9482424,25751,0.75
1744246130.141406,25824,0.75
1744246130.2234538,25854,0.7599999904632568
1744246130.443517,25937,0.7699999809265137
1744246130.750478,26051,0.7599999904632568
1744246131.037895,26157,0.75
1744246131.22321,26226,0.75
1744246131.4066563,26294,0.75
1744246131.7785282,26432,0.75
1744246132.0665371,26535,0.7599999904632568
1744246132.302323,26625,0.7799999713897705
1744246132.7144582,26778,0.7599999904632568
1744246133.118079,26931,0.75
1744246133.1998067,26960,0.7599999904632568
1744246133.2657268,26984,0.7599999904632568
1744246133.55614,27090,0.7400000095367432
1744246133.7415955,27157,0.7300000190734863
1744246133.9007776,27214,0.7400000095367432
1744246134.0793006,27280,0.7300000190734863
1744246134.1504807,27306,0.7400000095367432
1744246134.266624,27349,0.7400000095367432
